Time,PopSize,InTreatment
59.0000000000,528,8
59.2500000000,534,8
59.5000000000,530,8
59.7500000000,531,7
60.0000000000,532,7
60.2500000000,532,7
60.5000000000,532,7
60.7500000000,534,7
61.0000000000,535,7
61.2500000000,535,7
61.5000000000,538,7
61.7500000000,539,7
62.0000000000,547,7
62.2500000000,549,7
62.5000000000,552,7
62.7500000000,554,7
63.0000000000,556,7
63.2500000000,557,7
63.5000000000,560,7
63.7500000000,559,7
64.0000000000,557,6
64.2500000000,563,6
64.5000000000,561,6
64.7500000000,559,6
65.0000000000,557,5
65.2500000000,559,5
65.5000000000,559,5
65.7500000000,558,4
66.0000000000,560,4
66.2500000000,560,4
66.5000000000,559,3
66.7500000000,560,3
67.0000000000,567,3
67.2500000000,568,3
67.5000000000,573,3
67.7500000000,576,3
68.0000000000,574,3
68.2500000000,578,3
68.5000000000,579,3
68.7500000000,578,3
69.0000000000,575,3
69.2500000000,574,3
69.5000000000,575,3
69.7500000000,574,2
70.0000000000,577,2
70.2500000000,574,1
70.5000000000,577,1
70.7500000000,578,1
71.0000000000,583,1
