"ID1","ID2","FormTime","DisTime","AgeGap","MSM","CondomUsingFormation"
132,302,3.6524812809,19.7611642460,9.7715157077,0,0
38,379,12.2683869853,19.7655326394,3.1391096697,0,0
88,297,11.2227942320,19.7944309187,-0.0364694578,0,0
76,295,19.4043416644,19.8649347727,0.8340922443,0,0
7,228,19.4428700330,19.9124358348,7.9535172185,0,0
160,222,0.0363145657,20.0108974372,8.9223739618,0,0
160,394,2.0051329707,20.0108974372,9.0970287648,0,0
160,397,10.3297463491,20.0108974372,8.0935153611,0,0
79,336,10.4050616084,20.1040246180,9.8108060032,0,0
154,215,6.3166978941,20.2004441192,9.7837363521,0,0
139,362,13.4393539396,20.2357578503,6.2104494421,0,0
186,362,13.6760845041,20.2357578503,3.5428061038,0,0
102,206,7.7368897788,20.3745918252,4.0162123587,0,0
93,201,16.3214166704,20.4643986271,7.8307090109,0,0
77,264,9.9164828921,20.5808250069,3.4116771405,0,0
77,376,0.9131539836,20.5808250069,6.6051179472,0,0
77,388,12.3734435890,20.5808250069,9.3321464613,0,0
48,384,14.2404663653,20.6439801357,9.7820294156,0,0
166,242,11.1807962354,20.6676358523,9.2933163124,0,0
166,299,9.3537957632,20.6676358523,5.7360847639,0,0
166,366,5.1801843268,20.6676358523,3.1600154377,0,0
166,373,7.1152917725,20.6676358523,5.3092274747,0,0
166,389,7.8142203163,20.6676358523,2.0752023107,0,0
166,395,12.0424395245,20.6676358523,2.4903272426,0,0
142,218,7.0125640328,20.9335203768,5.3022051218,0,0
97,395,12.6793305402,20.9678489344,9.6447273469,0,0
185,269,19.1919011437,21.0458088978,3.6540282658,0,0
132,218,5.0727054209,21.0840017809,10.4633399171,0,0
132,228,2.4165898463,21.0840017809,8.0347576828,0,0
132,263,15.2137716681,21.0840017809,13.6136581704,0,0
132,276,18.6385792845,21.0840017809,14.5279677191,0,0
132,285,0.0661429082,21.0840017809,1.5583283468,0,0
132,321,19.3399686468,21.0840017809,12.9721075267,0,0
132,343,10.3439304610,21.0840017809,13.7807507271,0,0
132,375,0.9514408692,21.0840017809,8.0989696095,0,0
132,387,0.0001286510,21.0840017809,3.2979670611,0,0
132,395,4.1876810131,21.0840017809,11.3352705891,0,0
100,246,10.7293384062,21.2380400336,2.9642320125,0,0
156,242,12.6063473640,21.3176846340,9.3106510924,0,0
108,274,18.1268416530,21.3719864463,8.9886953046,0,0
17,341,0.0000474481,21.4648464083,-1.0689233901,0,0
191,341,0.0000113973,21.4648464083,6.5070291521,0,0
78,366,5.6191949844,21.4657809210,-0.4822269875,0,0
107,215,3.7371841074,21.4788043890,13.3245851782,0,0
107,339,17.7830882662,21.4788043890,17.6908771113,0,0
158,336,16.1263815257,21.4906611811,22.5739676662,0,0
158,384,3.6631011924,21.4906611811,11.9492358838,0,0
11,342,16.8287774146,21.5550152246,8.3681812907,0,0
126,240,13.8684557926,21.8838746950,11.3590721997,0,0
126,264,17.8867227924,21.8838746950,11.8651718008,0,0
126,307,0.6385189443,21.8838746950,4.1152763790,0,0
126,309,0.0133979844,21.8838746950,8.5347435911,0,0
102,378,17.7676794295,21.9159547594,4.7121613042,0,0
73,256,12.4062018143,21.9901758226,12.6533412185,0,0
73,277,1.5038970511,21.9901758226,7.1373465561,0,0
73,310,1.0432976278,21.9901758226,5.0773958957,0,0
73,386,13.4447953021,21.9901758226,10.1391718439,0,0
110,328,13.9627391838,22.0953745576,0.4831388149,0,0
145,287,10.6436118688,22.1040680792,-1.2144306360,0,0
4,360,15.1004190089,22.1348037005,9.0099617402,0,0
94,360,19.7896748356,22.1348037005,9.8589746149,0,0
159,360,15.1068907442,22.1348037005,7.7477672076,0,0
51,370,0.1161091013,22.2539038460,1.6792732260,0,0
104,379,19.7101150160,22.2592725096,1.6507945720,0,0
67,207,11.4751229763,22.2697019069,3.1287844671,0,0
67,221,3.7093163440,22.2697019069,-0.9089163571,0,0
67,226,18.2302691419,22.2697019069,6.9195457623,0,0
67,363,7.0822375752,22.2697019069,3.6732166938,0,0
83,358,12.5288202540,22.4631062591,6.3433260892,0,0
147,223,14.2020809376,22.4710159187,3.9194490582,0,0
167,279,7.6689916696,22.5201576675,8.4996353477,0,0
167,395,4.4308440710,22.5201576675,7.4981330034,0,0
170,352,3.4623169063,22.5250651108,4.6832364564,0,0
11,343,8.7910015031,22.5713544184,9.8352208509,0,0
193,306,18.1227382220,22.8220634156,11.5434309775,0,0
193,307,0.0455886132,22.8220634156,5.1671660058,0,0
59,409,19.2484555806,23.0190731438,6.9043840242,0,0
58,240,10.0622676888,23.0839259059,11.7140906843,0,0
100,238,16.0745518227,23.2713192088,5.2874681873,0,0
141,234,11.3169690128,23.2932295657,-2.3483607269,0,0
161,379,15.8669750972,23.3782409878,0.5889641966,0,0
123,293,7.5750451399,23.4090974922,1.4186352463,0,0
110,295,13.3986393833,23.4279130610,-0.5305275001,0,0
150,381,11.2885273096,23.4339306599,-1.5336142426,0,0
11,206,17.7941525222,23.5974155354,10.9308835394,0,0
11,290,19.4814061380,23.5974155354,7.5694286533,0,0
11,299,20.5731730419,23.5974155354,10.6354982342,0,0
11,366,16.6813116847,23.5974155354,8.0594289080,0,0
11,373,18.0569782595,23.5974155354,10.2086409451,0,0
46,322,17.7221647931,23.6703440341,9.9299129618,0,0
117,322,23.6238315617,23.6703440341,11.7087748105,0,0
145,322,14.2447415201,23.6703440341,6.9161004969,0,0
57,246,10.3239398954,23.7572892411,5.7686013718,0,0
57,291,19.4200770981,23.7572892411,9.2577467132,0,0
57,305,18.9506051949,23.7572892411,4.0632474835,0,0
57,344,17.3523420109,23.7572892411,9.8072942496,0,0
4,207,4.9263501220,23.7694428488,3.8779649408,0,0
4,209,22.1690213554,23.7694428488,4.9280014133,0,0
4,229,5.9900907531,23.7694428488,4.2446281461,0,0
4,279,17.3576065368,23.7694428488,4.1417624346,0,0
4,280,5.7507954941,23.7694428488,3.7343648750,0,0
4,337,7.3252396050,23.7694428488,5.9021062772,0,0
4,354,17.7526680393,23.7694428488,7.6488567236,0,0
113,291,14.4264572245,23.7899963443,8.7425809194,0,0
159,246,16.1606680868,23.7986550696,7.8153833850,0,0
116,257,13.0044844217,24.0277222574,-2.0453386871,0,0
