"ID","Gender","TOB","TOD","IDF","IDM","TODebut","FormEag","FormEagMSM","InfectTime","InfectOrigID","InfectType","log10SPVL","TreatTime","XCoord","YCoord","AIDSDeath","HSV2InfectTime","HSV2InfectOriginID","CD4atInfection","CD4atDeath"
503,0,13.7845559723,       inf,62,220,28.7845559723,62.2232217161,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
104,0,-2.0662650499,       inf,-1,-1,12.9337349501,16.4584725550,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
1000,0,59.6650694538,       inf,585,649,       inf,76.4298341507,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
909,0,51.8841335223,       inf,11,441,66.8841335223,26.7183290271,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
1018,0,60.8937171510,       inf,503,559,       inf,22.3154090355,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
1141,0,69.9588654646,       inf,596,720,       inf,10.8315623340,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
1019,0,60.9741334172,       inf,695,690,       inf,27.1575990707,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
1060,0,64.1567169363,       inf,701,728,       inf,2.7513781713,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
566,0,20.5344315433,       inf,179,387,35.5344315433,37.7793295850,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
533,0,17.1708590716,       inf,50,241,32.1708590716,0.7348856057,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
859,0,46.7669636287,       inf,491,520,61.7669636287,2.2620919786,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
553,0,19.2961198636,       inf,131,314,34.2961198636,61.5186204840,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
875,0,48.2066916354,       inf,554,578,63.2066916354,89.8601722824,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
1082,0,65.2872143561,       inf,659,737,       inf,123.8032013830,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
596,0,23.9322380665,       inf,72,348,38.9322380665,233.0226236799,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
873,0,48.1344741965,       inf,12,230,63.1344741965,3.9529938726,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
795,0,40.9111126081,       inf,19,268,55.9111126081,18.8306595223,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
905,0,51.5069244697,       inf,616,649,66.5069244697,217.5976130885,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
861,0,47.0502798133,       inf,67,434,62.0502798133,28.0492830581,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
973,0,57.5442958439,       inf,682,648,       inf,54.6271978380,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
670,0,30.2136287884,       inf,136,356,45.2136287884,48.5694931384,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
1002,0,59.7690044256,       inf,104,454,       inf,112.5202650288,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
713,0,33.8997437416,       inf,429,471,48.8997437416,76.1809011078,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
893,0,50.1005995385,       inf,421,513,65.1005995385,0.2206426910,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
560,0,20.1127547342,       inf,10,330,35.1127547342,15.2164820135,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
1050,0,63.1893051297,       inf,11,441,       inf,95.5310851811,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
585,0,22.5664931544,       inf,136,356,37.5664931544,53.7829042212,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
1144,0,70.1082834781,       inf,531,609,       inf,28.6096090461,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
806,0,42.1763780448,       inf,404,486,57.1763780448,0.2395018281,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
899,0,50.4251712455,       inf,59,350,65.4251712455,5.8018588608,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
1095,0,66.6096551452,       inf,553,571,       inf,9.7569651273,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
1149,0,70.5563590121,       inf,566,741,       inf,32.3464020459,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
948,0,55.6821514785,       inf,554,619,70.6821514785,66.0240308880,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
734,0,35.7400077277,       inf,73,308,50.7400077277,68.4151263482,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
1005,0,59.9775264989,       inf,576,630,       inf,25.4649979509,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
138,0,-1.6119588265,       inf,-1,-1,13.3880411735,0.0392966409,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
1122,0,68.6460763144,       inf,740,854,       inf,13.3074273866,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
733,0,35.6647540658,       inf,71,260,50.6647540658,154.4553587039,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
735,0,35.7961467919,       inf,507,484,50.7961467919,74.7737366837,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
767,0,38.9505091572,       inf,87,425,53.9505091572,41.7737974392,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
558,0,19.8371612115,       inf,144,214,34.8371612115,24.8110729033,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
1086,0,65.6165879794,       inf,740,804,       inf,15.6007364083,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
145,0,-2.4838973857,       inf,-1,-1,12.5161026143,100.7103284213,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
1114,0,67.9076141865,       inf,733,722,       inf,26.7688325333,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
1072,0,64.6751248334,       inf,709,820,       inf,24.1819012515,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
729,0,35.4765214631,       inf,481,541,50.4765214631,5.1441916154,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
568,0,20.6126514910,       inf,86,403,35.6126514910,38.2764701562,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
940,0,54.8914056986,       inf,12,222,69.8914056986,36.3373853002,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
695,0,32.3545882530,       inf,11,425,47.3545882530,145.6675233916,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
685,0,31.5241509947,       inf,22,324,46.5241509947,12.3852949271,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
153,0,-0.3958373869,       inf,-1,-1,14.6041626131,84.6402609792,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
531,0,16.8739015687,       inf,43,265,31.8739015687,12.9276663704,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
742,0,36.3493090800,       inf,113,274,51.3493090800,10.6673863242,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
156,0,-1.5762155670,       inf,-1,-1,13.4237844330,28.0115979780,0.0000000000,42.8635453079,428,1,2.2455718500,48.4887095496,0.0000000000,0.0000000000,-1,       inf,-1,666.1122111632,19.9600556538
750,0,37.2064438989,       inf,25,350,52.2064438989,3.5621827612,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
719,0,34.5768986238,       inf,417,485,49.5768986238,26.5232598286,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
777,0,39.5423696828,       inf,20,221,54.5423696828,36.7281249112,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
791,0,40.6257731014,       inf,145,432,55.6257731014,1.1600443020,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
776,0,39.4647502547,       inf,187,324,54.4647502547,2.6258081609,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
807,0,42.4807151557,       inf,12,230,57.4807151557,0.3994985030,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
