id,conception_alpha_base,conception_alpha_base_1,conception_alpha_base_2,diagnosis_baseline_t0,diagnosis_baseline_t1,diagnosis_baseline_t2,diagnosis_baseline_t3,diagnosis_baseline_t4,diagnosis_baseline_t5,diagnosis_eagernessfactor,dissolution_alpha_0,formation_hazard_agegapry_baseline,formation_hazard_agegapry_gap_agescale_man,formation_hazard_agegapry_gap_agescale_woman,formation_hazard_agegapry_gap_factor_man_woman_exp,formation_hazard_agegapry_numrel_man,formation_hazard_agegapry_numrel_woman,hivtransmission_param_a,hivtransmission_param_f1,person_eagerness_man_dist_gamma_a,person_eagerness_man_dist_gamma_b,person_eagerness_woman_dist_gamma_a,person_eagerness_woman_dist_gamma_b
292,-2.9550865501023496,0.3818917520525497,0.36084452311300863,-1.8093503025873523,0.2671423800246913,0.0765222703263876,0.361812678588736,0.6688831057663432,0.46700370115973644,1.0266868548898245,-2.234688009619828,2.3027610670846705,0.043537808826486814,0.0635026437202462,-1.4620543349158726,-0.6099243735201006,-0.4572118127579341,-2.2020065996969262,3.0107065506143225,0.7375766872433202,48.98864906227515,0.27000173276889816,40.76752897239758
293,-2.9550967145814533,0.37717775865258285,0.3526147916236602,-1.8085445314974498,0.26226710844712825,0.08136556284264852,0.3792571270392877,0.7004327741805997,0.4637072827422096,1.0279778241235942,-2.179551818473085,2.2204619560097,0.04095662236633792,0.05930515692981082,-1.453557808446674,-0.5009199605417118,-0.5085642485692387,-2.169786516552615,2.975896199589763,0.7495031780414553,47.82316408186905,0.25258062207032184,37.651525586270544
294,-2.949268090216297,0.4399339383884199,0.3821025219775916,-1.781149117427819,0.28201951837284367,0.11649533670624368,0.34472835261151186,0.5930429638215235,0.4224369852689201,1.0337490090015111,-2.1144375790534222,2.213492413736787,0.033931407816032315,0.04405849018891886,-1.2249695749957326,-0.6749536522423621,-0.5081128733145881,-2.1938762174193114,3.021183601843252,0.7210180483863924,49.2815485350452,0.28364057062430054,35.14835730828829
295,-2.9541000487337263,0.3889265286545539,0.36156559890406104,-1.8086072960885509,0.26638797984223134,0.08125099906826183,0.3680048760513035,0.673121524248103,0.4627029891752409,1.0278383198086438,-2.211590849641834,2.2911767071620432,0.042419671732383375,0.06095058296608389,-1.4322949608184237,-0.5845273146001686,-0.47313224602321,-2.196497114326045,2.9993473960158314,0.7393320229371744,48.890345598721154,0.2659792258896218,39.255862982699746
296,-2.9597582238322246,0.3370412827560507,0.33153716695395913,-1.800543004911579,0.26252212408991493,0.07591033503900037,0.3717700193278267,0.7181124542279518,0.4677969731681917,1.0256533868497426,-2.1531645367163548,2.035573729544247,0.039968190456502,0.05883881000523709,-1.5633788634839025,-0.43320849746901996,-0.5501045281687962,-2.119690541370441,2.967367350676262,0.7576064522046989,45.58043226262656,0.24306673950654617,38.935947497713826
297,-2.956881804448333,0.3629954990331661,0.351820695761,-1.8171901857195303,0.2604373157020633,0.06676549697393296,0.37415054830039374,0.7048614285098841,0.47895425278607123,1.0252056251419444,-2.247446966931318,2.298964122122154,0.04491567549169803,0.06745791418887184,-1.5253201928277382,-0.5449888532473646,-0.46254417421584426,-2.1918934696655192,2.9948601234081242,0.7483189452971241,48.42707547029078,0.25851428450656255,40.956183687087815
298,-2.949579903470581,0.4408465593076158,0.3822201593625897,-1.7726388937879927,0.2861431137879218,0.12205225233603137,0.33465877655479265,0.5757524814597134,0.4154578117560366,1.0342830641949767,-2.0936317701156617,2.1577948384650134,0.03184025466765609,0.040709552749631756,-1.2088571847612926,-0.6927480027038952,-0.5189506336760301,-2.184833032618601,3.031330652421114,0.7181893179979306,48.91878530794542,0.287250314943712,34.941478694218674
299,-2.953564986977213,0.39735351373588296,0.36565521102262255,-1.8007758010237993,0.27016485790271105,0.08877384052546877,0.3601272955768366,0.654013721924325,0.45408848101508537,1.0290133275617477,-2.189682444611139,2.2626793220744976,0.03983481364685423,0.057068961661123976,-1.3905367625900764,-0.606870046414871,-0.4807675154993672,-2.1941290825163144,3.009961946251165,0.7363060228780326,48.83828172552748,0.27009889824574096,38.39137729546395
300,-2.956998544529184,0.36823589828186615,0.34943639963167855,-1.7918704770726008,0.2713422423238221,0.08752885416534696,0.3532240466300174,0.6640844679396541,0.4539249468929029,1.027679010681708,-2.1561836908914733,2.098385815652911,0.038161845967092836,0.05500160178293093,-1.463419339898594,-0.5512468792353493,-0.5214518826734229,-2.150476865803524,3.0024180112296905,0.7422283845012957,46.948818530733135,0.2625403270745244,38.90544414849315
301,-2.9514955618858,0.4178838734787561,0.37730298787719785,-1.8002384124695547,0.27305887129509254,0.0935493978945121,0.35540658713478124,0.6309439772129585,0.448905692751435,1.030190160428236,-2.2006335019887233,2.3361064529502698,0.03963182901217238,0.056228550632597185,-1.3306381531896865,-0.6672335933590056,-0.4579321618693381,-2.218767386626728,3.02509771275373,0.7288729301517584,49.917758044913306,0.27958160561035017,38.19065359713718
